3356|4637|137831
4637|7552|1273
15412|29357|5416
9304|45499|4779
3356|4809|4134
3908|7991|3561
3356|40498|209
46309|54370|209
33287|26881|7029
7473|59378|58453
59605|43766|6762
9002|24739|48223
6461|7473|58463
6461|8220|39702
4637|18187|6939
42673|203086|16110
3356|7473|1299
33287|26881|46887
3356|4637|4657
3356|6648|2516
2603|21320|9199
2828|7219|1299
4637|55821|1299
3209|44974|28876
6461|9002|49458
12129|21527|6461
3209|39702|8881
3320|2828|13767
9002|48422|6939
9680|3462|54994
4637|9304|135409
9304|9927|58453
7473|38082|135300
37662|25543|6713
1239|52468|18747
3320|9002|4761
3320|702|202917
27064|367|306
15412|9304|174
9002|12418|8595
1239|28007|8048
6461|5769|1299
701|4775|15412
4637|18187|3491
4637|4775|1273
9002|197535|29470
50581|199995|48229
29076|44927|8641
7016|26881|7029
41313|6821|12713
15412|18101|138754
6453|31287|174
6461|22773|393340
7473|7552|3491
13237|3573|8220
6461|31500|6768
9002|25133|6939
7473|4761|3491
29465|37282|174
9002|35401|12389
52320|6306|3549
45899|135905|131418
852|22457|577
37662|36866|8966
25144|198252|21107
9304|9927|9299
2828|36498|7922
60725|12491|3491
4637|7552|7473
3356|7738|52320
15412|9304|135409
6762|4637|45177
10429|28598|61832
4651|136975|136255
6762|15412|135607
2914|17676|1239
3549|11172|16531
8657|29614|1273
37662|37204|5511
6461|5769|174
6461|16399|2828
1273|3216|35598
59605|43766|358
8966|35753|6453
45899|23900|9931
7473|132829|3491
3320|9583|58678
701|5639|23520
1299|42|715
10796|13776|4323
6461|7473|134078
13767|25694|6461
31133|201250|20866
1273|29614|8657
6461|7473|3491
8359|43148|8359
3320|24961|35657
5391|43061|174
36994|29614|1273
1273|12389|35598
2828|19855|7922
28968|48940|31133
3320|9002|28840
6461|812|21723
6461|20562|16218
4761|17451|6939
1299|5511|28007
5391|43061|3356
49063|196695|9002
3356|6453|61599
701|32806|7922
6453|4007|45845
21320|137|174
32098|28546|11172
45352|23678|4788
6453|25447|174
52320|11562|3549
6461|577|29974
2828|7219|3356
29465|37282|3356
3491|4761|38757
3356|4637|45177
3320|9002|44628
6461|20485|48940
36994|29614|8657
4637|4775|1239
7552|38731|45903
9002|48422|174
3356|38757|3491
4637|38442|58453
12713|42313|6762
31133|42526|3216
3320|9002|3326
9121|42926|34984
29119|201337|200845
8657|29614|36994
3356|33287|32806
3320|12329|15763
6461|58453|9927
6453|31287|3257
3356|3910|209
701|10396|11367
6453|13194|174
6461|20485|208087
174|812|21723
6461|13030|395853
13237|8879|3320
1239|17676|4637
4637|38442|4648
47872|51582|31287
31500|39046|9002
29076|24739|48223
3356|55644|3491
1239|28007|263703
9002|41925|39775
15576|47176|21217
3356|33659|32806
2828|36498|2914
3356|17222|4230
8359|25086|8359
3356|13367|25694
3356|58453|9927
4637|58460|60725
29465|37282|6453
6461|5769|3257
13237|196714|8220
9049|56669|12389
31133|43182|3216
6461|4637|4657
8359|29076|48293
3356|1273|1820
8966|36866|37662
6461|33561|209
4637|7552|3491
7473|3758|3491
50607|203157|62081
1299|21277|207701
